('dazzl', 2) 3
('dead', -1) 1
('deadbeat', -2) 1
('deadlock', -2) 2
('deadli', -1) 1
('deadweight', -2) 1
('deaf', -1) 1
('deal', 1) 1
('dear', 2) 1
('dearth', -2) 1
('death', -1) 1
('debacl', -2) 1
('debas', -2) 3
('debat', -2) 2
('debauch', -2) 2
('debaucheri', -2) 1
('debilit', -1) 2
('debil', -1) 1
('decad', -2) 2
('decai', -2) 3
('deceit', -2) 3
('deceitfulli', -2) 1
('deceiv', -2) 4
('decent', 1) 1
('decenc', 1) 1
('decept', -2) 5
('decid', 0) 1
('decis', 1) 3
('declaim', -2) 1
('declin', -1) 3
('decreas', -1) 3
('decrement', -1) 1
('decrepit', -2) 1
('decrepitud', -2) 1
('decri', -2) 1
('dedic', 2) 1
('deduc', 0) 1
('deep', 0) 1
('deep', -1) 1
('deepli', 0) 1
('deepen', -2) 2
('defam', -2) 3
('defamatori', -2) 1
('defeat', -1) 2
('defect', -1) 1
('defect', -2) 1
('defend', 1) 1
('defend', 2) 2
('defens', -1) 1
('defer', 2) 1
('defens', 1) 1
('defianc', -2) 2
('defiant', -2) 1
('defiantli', -2) 1
('defici', -1) 2
('defil', -2) 2
('definit', 1) 4
('definit', 2) 1
('deflationari', 1) 1
('deform', -1) 2
('defraud', -2) 2
('deft', 2) 1
('defunct', -2) 1
('defi', -2) 1
('degener', -2) 4
('degrad', -2) 3
('degradingli', -2) 1
('dehuman', -2) 2
('deign', -2) 1
('deject', -2) 3
('dejectedli', -2) 1
('delect', 2) 1
('delicaci', 1) 1
('delic', 1) 1
('delici', 2) 1
('delight', 2) 6
('delightfulli', 2) 1
('delinqu', -1) 2
('deliri', -2) 1
('delirium', -2) 1
('delud', -2) 2
('delug', -1) 1
('delus', -2) 4
('delusion', -2) 2
('demand', 0) 5
('demean', -2) 2
('demis', -2) 1
('democrat', 1) 1
('demolish', -1) 2
('demon', -2) 4
('demor', -2) 2
('demoralizingli', -2) 1
('demystifi', 2) 1
('denial', -2) 1
('denigr', -2) 1
('deni', -2) 1
('denounc', -2) 1
('denunci', -2) 3
('depend', 1) 1
('depend', 0) 2
('deplet', -1) 1
('deplor', -2) 5
('deploringli', -2) 1
('deprav', -2) 2
('depravedli', -2) 1
('deprec', -2) 1
('depress', -1) 3
('depress', -2) 3
('depressingli', -2) 1
('depriv', -2) 2
('derid', -2) 1
('deris', -2) 4
('derogatori', -2) 1
('desecr', -2) 1
('deserv', 2) 3
('deservedli', 2) 1
('desert', -2) 2
('desicc', -2) 2
('desir', 2) 5
('desol', -2) 3
('despair', -2) 3
('despairingli', -2) 1
('desper', -2) 3
('despic', -2) 2
('despis', -2) 3
('despit', -2) 1
('despoil', -2) 2
('despond', -2) 4
('despot', -2) 4
('destabilis', -2) 2
('destin', 1) 2
('destini', 2) 3
('destini', 0) 2
('destitut', -2) 2
('destroi', -1) 1
('destroy', -2) 2
('destruct', -1) 1
('destruct', -2) 1
('desultori', -2) 1
('deter', -1) 1
('deterior', -1) 4
('determin', 2) 2
('deterr', -1) 1
('detest', -2) 3
('detract', -1) 2
('detriment', -2) 2
('devast', -2) 3
('devastatingli', -2) 1
('devast', -1) 1
('deviat', -1) 4
('devil', -2) 2
('devilish', -2) 1
('devilishli', -2) 1
('devilri', -2) 1
('deviou', -2) 1
('devious', -2) 2
('devoid', -2) 1
('devot', 2) 3
('devote', 2) 1
('devout', 1) 1
('dexter', 1) 1
('dexter', 2) 2
('dextrou', 2) 1
('diabol', -2) 3
('diametr', -2) 1
('diatrib', -2) 2
('dictat', -1) 1
('dictatori', -1) 1
('differ', -1) 1
('differ', 0) 2
('difficult', -1) 1
('difficulti', -1) 2
('difficulti', -2) 2
('diffid', -2) 2
('dig', -1) 1
('dig', 1) 1
('dignifi', 2) 1
('dignifi', 1) 1
('digniti', 2) 1
('digress', -2) 1
('dilapid', -2) 1
('dilemma', -1) 2
('dilig', 1) 3
('dilly-d', -2) 1
('dim', -2) 1
('dim', -1) 1
('diminish', -1) 2
('din', -1) 1
('dinki', -1) 1
('diplomaci', 0) 2
('diplomat', 1) 2
('dire', -2) 3
('direct', 0) 1
('dirt', -1) 1
('dirti', -1) 2
('disabl', -1) 2
('disaccord', -2) 1
('disadvantag', -2) 3
('disadvantag', -1) 1
('disaffect', -2) 2
('disaffirm', -2) 1
('disagre', -2) 3
('disagr', -2) 2
('disallow', -2) 1
('disappoint', -2) 5
('disappointingli', -2) 1
('disapprob', -2) 1
('disapprov', -2) 4
('disarm', -1) 1
('disarrai', -2) 2
('disast', -2) 1
('disastr', -2) 2
('disavow', -2) 2
('disbelief', -2) 1
('disbeliev', -2) 2
('discern', 0) 1
('discern', 2) 1
('disclaim', -2) 1
('discombobul', -2) 1
('discomfit', -2) 1
('discomfititur', -2) 1
('discomfort', -1) 1
('discompos', -1) 1
('disconcert', -2) 3
('disconcertingli', -2) 1
('disconsol', -2) 3
('discont', -2) 3
('discontentedli', -2) 1
('discontinu', -2) 2
('discord', -2) 3
('discounten', -2) 1
('discourag', -2) 3
('discouragingli', -2) 1
('discourt', -2) 2
('discredit', -2) 1
('discreet', 1) 2
('discrep', -1) 1
('discret', 1) 1
('discrimin', -1) 3
('discrimin', 1) 1
('discriminatingli', 1) 1
('discriminatori', -2) 1
('disdain', -2) 3
('disdainfulli', -2) 1
('diseas', -1) 2
('disfavor', -2) 1
('disgrac', -2) 4
('disgracefulli', -2) 1
('disgruntl', -2) 2
('disgust', -2) 5
('disgustedli', -2) 1
('disgustfulli', -2) 1
('disgustingli', -2) 1
('dishearten', -2) 2
('dishearteningli', -2) 1
('dishonest', -2) 2
('dishonestli', -2) 1
('dishonesti', -2) 1
('dishonor', -2) 4
('disillus', -2) 3
('disinclin', -2) 2
('disingenu', -2) 2
('disintegr', -1) 2
('disinterest', -1) 1
('disinterest', -2) 2
('dislik', -2) 1
('disloc', -1) 1
('disloy', -2) 2
('disloyalti', -2) 1
('dismal', -2) 3
('dismai', -2) 4
('dismayingli', -2) 1
('dismiss', -2) 3
('disobedi', -2) 2
('disobei', -2) 1
('disown', -2) 2
('disord', -1) 3
('disorderli', -1) 1
('disorgan', -2) 1
('disori', -2) 2
('disparag', -2) 2
('disparagingli', -2) 1
('dispens', -1) 1
('dispirit', -2) 3
('dispiritedli', -2) 1
('displac', -1) 2
('displeas', -2) 2
('displeasur', -2) 2
('disposit', 0) 1
('disproportion', -1) 1
('disprov', -2) 1
('disput', -2) 4
('disquiet', -2) 2
('disquietingli', -2) 1
('disquietud', -2) 1
('disregard', -2) 3
('disreput', -2) 2
('disrespect', -2) 6
('disrespectabl', -2) 1
('disrespectfulli', -2) 1
('disrupt', -2) 4
('dissatisfact', -2) 2
('dissatisfactori', -2) 1
('dissatisfi', -2) 3
('dissembl', -2) 2
('dissens', -2) 1
('dissent', -2) 4
('disservic', -2) 2
('dissid', -2) 5
('dissoci', -2) 1
('dissolut', -2) 1
('dissolut', -1) 1
('disson', -2) 2
('dissonantli', -2) 1
